Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trent Forrest,SG,25,ATL,2,0,9.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.5,0.0,0.5,2.5,0.0,0.0,0.0,0.5,1.0
Evan Fournier,SG,31,NYK,1,0,16.0,1.0,6.0,.167,0.0,4.0,.000,1.0,2.0,.500,.167,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0
De'Aaron Fox,PG,26,SAC,6,6,36.8,11.5,22.7,.507,3.2,8.3,.380,8.3,14.3,.581,.577,6.0,8.0,.750,1.2,3.5,4.7,6.0,1.7,0.5,2.2,3.2,32.2
Alex Fudge,SF,20,LAL,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,.482,0.0,0.6,.000,5.4,10.6,.509,.482,0.6,0.8,.750,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4
Daniel Gafford,C,25,WAS,10,10,23.6,3.5,4.8,.729,0.0,0.0,,3.5,4.8,.729,.729,1.6,2.5,.640,2.5,4.7,7.2,1.1,0.6,2.0,1.4,3.3,8.6
Danilo Gallinari,PF,35,WAS,11,0,15.1,3.0,5.8,.516,0.8,2.5,.333,2.2,3.4,.649,.586,1.8,2.3,.800,0.7,2.4,3.1,1.5,0.3,0.3,0.5,0.9,8.6
Darius Garland,PG,24,CLE,7,7,33.4,6.4,13.9,.464,1.4,4.7,.303,5.0,9.1,.547,.515,4.4,5.4,.816,0.7,2.1,2.9,5.7,1.6,0.3,4.9,2.0,18.7
Luka Garza,C,25,MIN,3,0,3.7,1.3,3.0,.444,0.0,0.3,.000,1.3,2.7,.500,.444,1.3,2.0,.667,1.0,0.7,1.7,0.0,0.0,0.0,0.0,1.0,4.0
Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Keyonte George,PG,20,UTA,12,4,23.5,2.9,7.4,.393,1.4,4.3,.327,1.5,3.1,.486,.489,1.3,1.7,.800,0.3,2.2,2.5,4.9,0.4,0.2,1.8,1.1,8.6
Paul George,PF,33,LAC,11,11,34.6,8.0,17.4,.461,3.3,8.4,.391,4.7,9.0,.525,.555,5.3,5.6,.935,0.5,5.2,5.7,3.5,2.4,0.2,3.0,2.7,24.5
Josh Giddey,SG,21,OKC,13,13,27.5,5.6,12.7,.442,0.6,2.0,.308,5.0,10.7,.468,.467,1.1,1.3,.824,1.4,4.4,5.8,4.7,0.8,0.7,2.8,1.1,12.9
Harry Giles,C,25,BRK,1,0,6.0,3.0,3.0,1.000,1.0,1.0,1.000,2.0,2.0,1.000,1.167,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0
Shai Gilgeous-Alexander,PG,25,OKC,12,12,34.9,11.3,21.5,.523,1.4,4.1,.347,9.8,17.4,.565,.556,5.8,6.3,.921,0.8,5.8,6.5,6.0,2.6,0.8,2.3,2.3,29.8
Anthony Gill,PF,31,WAS,7,0,6.1,0.9,1.9,.462,0.0,0.1,.000,0.9,1.7,.500,.462,1.1,1.4,.800,0.4,0.9,1.3,0.6,0.3,0.4,0.7,0.6,2.9
Collin Gillespie,PG,24,DEN,6,0,11.8,1.3,3.0,.444,0.5,1.8,.273,0.8,1.2,.714,.528,0.2,0.2,1.000,0.0,0.5,0.5,1.2,0.8,0.0,0.3,1.5,3.3
Jacob Gilyard,PG,25,MEM,9,4,16.7,1.6,3.2,.483,1.4,3.0,.481,0.1,0.2,.500,.707,0.0,0.0,,0.4,1.2,1.7,3.1,0.8,0.1,0.6,1.3,4.6
Rudy Gobert,C,31,MIN,12,12,32.6,4.1,7.8,.527,0.0,0.0,,4.1,7.8,.527,.527,3.5,5.8,.600,4.0,8.3,12.3,1.3,0.8,2.2,1.7,2.7,11.7
Jordan Goodwin,PG,25,PHO,12,0,17.8,2.2,6.7,.325,1.3,3.6,.349,0.9,3.1,.297,.419,0.8,1.1,.769,0.9,2.8,3.7,2.2,1.0,0.4,0.8,1.3,6.4
Aaron Gordon,PF,28,DEN,12,12,33.2,6.1,10.9,.557,0.6,2.2,.269,5.5,8.8,.629,.584,1.5,2.8,.529,2.1,5.0,7.1,3.8,1.2,1.0,1.9,2.0,14.3
Eric Gordon,SG,35,PHO,11,7,29.8,5.5,12.1,.459,2.4,6.4,.371,3.2,5.7,.556,.556,0.3,0.3,1.000,0.5,1.6,2.1,2.8,0.9,0.5,1.4,1.2,13.7
Devonte' Graham,PG,28,SAS,2,0,14.5,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,2.0,2.5,.800,0.5,0.5,1.0,4.0,1.0,0.5,1.0,1.0,3.0
Jerami Grant,PF,29,POR,12,12,36.3,7.8,18.1,.429,2.4,6.7,.363,5.3,11.4,.467,.495,4.8,6.0,.792,0.8,3.6,4.4,1.9,0.6,0.8,2.6,2.3,22.7
A.J. Green,SG,24,MIL,7,0,8.1,1.3,2.7,.474,1.0,2.3,.438,0.3,0.4,.667,.658,0.1,0.1,1.000,0.0,0.7,0.7,1.0,0.0,0.0,0.0,0.7,3.7
Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
Draymond Green,PF,33,GSW,9,9,22.2,3.0,6.2,.482,1.0,2.2,.450,2.0,4.0,.500,.563,1.8,2.0,.889,1.4,3.7,5.1,5.7,0.7,0.6,1.8,2.4,8.8
Jalen Green,SG,21,HOU,10,10,32.2,5.9,14.7,.401,1.9,5.1,.373,4.0,9.6,.417,.466,5.4,6.8,.794,0.4,4.2,4.6,2.9,0.6,0.4,2.3,1.7,19.1
Jeff Green,PF,37,HOU,10,0,15.2,2.2,3.9,.564,0.4,1.2,.333,1.8,2.7,.667,.615,1.7,2.4,.708,1.2,1.9,3.1,0.6,0.2,0.2,0.6,1.0,6.5
Josh Green,SG,23,DAL,13,3,25.8,2.3,5.8,.400,1.2,3.6,.340,1.1,2.2,.500,.507,0.5,1.1,.500,0.6,2.1,2.7,2.2,0.9,0.2,0.9,1.7,6.4
AJ Griffin,SF,20,ATL,7,0,9.1,1.1,2.4,.471,0.9,2.0,.429,0.3,0.4,.667,.647,0.3,0.3,1.000,0.1,0.6,0.7,0.3,0.1,0.0,0.6,0.6,3.4
Quentin Grimes,SG,23,NYK,11,11,24.7,2.9,6.8,.427,2.3,5.7,.397,0.6,1.1,.583,.593,0.0,0.1,.000,0.1,1.3,1.4,1.1,0.7,0.0,0.6,1.7,8.1
Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Rui Hachimura,PF,25,LAL,9,1,21.4,4.4,7.7,.580,1.3,2.7,.500,3.1,5.0,.622,.667,1.9,2.4,.773,0.8,2.9,3.7,0.9,1.0,0.3,0.9,1.3,12.1
Tyrese Haliburton,PG,23,IND,10,10,33.7,8.6,16.3,.528,3.4,7.8,.436,5.2,8.5,.612,.632,4.1,4.4,.932,0.5,3.7,4.2,12.5,1.1,0.7,2.1,1.1,24.7
R.J. Hampton,PG,22,MIA,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Hardaway Jr.,SF,31,DAL,13,0,27.7,6.2,14.2,.440,3.8,9.4,.402,2.5,4.8,.516,.573,2.3,2.5,.909,0.3,3.5,3.8,1.7,0.2,0.0,1.0,0.8,18.5
James Harden,SG,34,LAC,6,6,32.5,5.3,10.3,.516,2.0,5.2,.387,3.3,5.2,.645,.613,3.8,4.0,.958,0.5,4.7,5.2,4.7,1.0,0.3,2.3,1.0,16.5
Jaden Hardy,SG,21,DAL,10,0,11.8,2.6,6.3,.413,0.9,2.9,.310,1.7,3.4,.500,.484,1.4,1.9,.737,0.2,1.4,1.6,1.3,0.3,0.0,0.6,0.9,7.5
Gary Harris,SG,29,ORL,7,2,19.9,3.1,5.7,.550,1.9,4.0,.464,1.3,1.7,.750,.713,0.6,1.0,.571,0.9,1.6,2.4,1.3,0.6,0.6,0.6,0.7,8.7
Joe Harris,SG,32,DET,7,0,14.0,1.3,3.6,.360,0.9,2.7,.316,0.4,0.9,.500,.480,0.0,0.0,,0.3,0.7,1.0,0.9,0.3,0.0,0.4,1.7,3.4
Tobias Harris,PF,31,PHI,12,12,36.8,7.8,13.7,.573,1.3,3.2,.395,6.6,10.5,.627,.619,3.4,3.8,.891,1.0,5.9,6.9,2.9,0.8,0.4,1.9,1.7,20.3
Josh Hart,SF,28,NYK,13,5,29.1,3.0,7.2,.419,1.0,3.2,.310,2.0,3.9,.510,.489,0.4,0.5,.714,1.1,5.4,6.5,2.8,0.9,0.3,1.0,1.9,7.4
Isaiah Hartenstein,C,25,NYK,13,0,16.9,2.5,4.4,.579,0.1,0.2,.333,2.5,4.2,.593,.588,1.2,1.8,.652,2.5,2.4,4.8,1.0,1.1,0.4,0.8,2.8,6.3
Sam Hauser,SF,26,BOS,12,1,21.1,3.3,6.7,.488,2.8,6.1,.452,0.5,0.6,.857,.694,0.3,0.3,1.000,0.6,2.6,3.2,0.8,0.6,0.4,0.3,1.6,9.6
Jordan Hawkins,SG,21,NOP,13,8,29.6,4.5,11.5,.389,2.8,7.7,.360,1.7,3.8,.449,.510,1.6,1.9,.840,0.8,3.2,3.9,2.1,0.7,0.0,1.1,2.2,13.3
Jaxson Hayes,C,23,LAL,11,0,9.9,0.8,1.4,.600,0.0,0.0,,0.8,1.4,.600,.600,0.8,1.4,.600,0.3,1.0,1.3,0.4,0.4,0.5,0.7,1.9,2.5
Killian Hayes,PG,22,DET,13,13,29.2,3.8,9.7,.397,1.1,3.5,.311,2.8,6.2,.444,.452,1.4,1.8,.750,0.3,2.7,3.0,4.5,1.2,0.6,0.8,2.2,10.2
Gordon Hayward,SF,33,CHO,11,11,32.4,5.6,13.1,.431,0.8,2.5,.321,4.8,10.5,.457,.462,2.5,3.5,.718,0.9,4.0,4.9,4.6,1.5,0.5,1.5,2.1,14.6
Scoot Henderson,PG,19,POR,5,5,28.4,3.6,10.4,.346,0.4,4.2,.095,3.2,6.2,.516,.365,1.2,1.4,.857,0.6,1.6,2.2,4.6,0.6,0.2,4.0,4.0,8.8
Taylor Hendricks,PF,20,UTA,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Tyler Herro,SG,24,MIA,8,8,34.0,8.5,19.0,.447,3.1,7.6,.410,5.4,11.4,.473,.530,2.8,3.1,.880,0.4,4.6,5.0,4.6,1.4,0.0,2.5,1.6,22.9
Buddy Hield,SF,31,IND,11,0,23.5,4.5,11.1,.410,2.9,7.8,.372,1.6,3.3,.500,.541,0.1,0.2,.500,0.6,2.6,3.3,2.8,0.6,0.6,1.8,1.4,12.1
Haywood Highsmith,PF,27,MIA,9,8,25.9,2.6,6.2,.411,1.1,3.9,.286,1.4,2.3,.619,.500,1.0,1.2,.818,0.7,2.1,2.8,1.2,1.4,0.9,1.0,1.9,7.2
Nate Hinton,SG,24,HOU,2,0,4.0,1.0,2.0,.500,1.0,1.0,1.000,0.0,1.0,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0
D'Moi Hodge,SG,25,LAL,3,0,5.3,0.3,1.7,.200,0.0,1.3,.000,0.3,0.3,1.000,.200,0.3,0.7,.500,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,1.0
Aaron Holiday,PG,27,HOU,8,0,15.9,2.0,4.6,.432,0.8,2.1,.353,1.3,2.5,.500,.514,0.4,0.4,1.000,0.1,1.4,1.5,1.4,0.4,0.0,0.5,1.1,5.1
Jrue Holiday,PG,33,BOS,12,12,34.2,5.3,11.9,.441,1.7,4.8,.351,3.6,7.2,.500,.510,1.3,1.5,.833,2.0,5.6,7.6,5.3,0.6,1.0,1.8,1.6,13.4
Justin Holiday,SG,34,DEN,4,0,4.8,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.3,1.5
Richaun Holmes,C,30,DAL,4,0,6.3,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.0,0.0,,1.3,1.5,2.8,0.3,0.0,0.0,0.8,1.3,2.5
Chet Holmgren,C,21,OKC,13,13,30.3,5.9,10.8,.546,1.6,3.7,.438,4.3,7.2,.602,.621,3.6,4.0,.904,1.6,6.3,7.9,2.8,1.0,2.2,2.3,3.0,17.1
Al Horford,C,37,BOS,11,3,24.3,2.5,5.5,.443,1.2,3.5,.342,1.3,2.1,.609,.549,0.2,0.2,1.000,1.7,4.3,6.0,2.2,0.5,0.9,1.0,1.5,6.3
Talen Horton-Tucker,PG,23,UTA,12,8,22.8,3.7,9.2,.400,1.2,3.5,.333,2.5,5.7,.441,.464,0.9,1.1,.846,0.6,2.6,3.2,4.9,0.9,0.6,2.3,2.3,9.4
Danuel House Jr.,SF,30,PHI,7,0,12.0,1.3,2.4,.529,0.3,1.3,.222,1.0,1.1,.875,.588,0.7,0.9,.833,0.3,1.0,1.3,0.4,0.1,0.1,1.0,0.7,3.6
Caleb Houstan,SF,21,ORL,6,0,6.0,1.0,1.8,.545,0.8,1.7,.500,0.2,0.2,1.000,.773,0.2,0.2,1.000,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.3,3.0
Jett Howard,SF,20,ORL,4,0,4.0,0.3,2.0,.125,0.0,1.5,.000,0.3,0.5,.500,.125,0.0,0.0,,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.5
Kevin Huerter,SG,25,SAC,11,11,28.1,5.0,11.2,.447,2.6,6.9,.382,2.4,4.3,.553,.565,0.9,1.1,.833,0.6,4.0,4.6,2.9,1.2,0.4,1.0,2.4,13.5
De'Andre Hunter,SF,26,ATL,12,12,29.5,4.5,10.2,.443,1.6,4.6,.345,2.9,5.6,.522,.520,2.3,2.8,.794,0.6,3.1,3.7,1.5,0.8,0.3,1.3,3.1,12.8
Bones Hyland,PG,23,LAC,8,2,23.5,4.4,10.0,.438,1.9,5.3,.357,2.5,4.8,.526,.531,1.1,1.3,.900,0.3,1.4,1.6,2.9,0.8,0.0,2.0,2.6,11.8
Joe Ingles,SF,36,ORL,12,0,19.4,1.3,3.8,.326,0.9,2.8,.324,0.3,1.0,.333,.446,0.3,0.4,.800,0.5,1.9,2.4,3.1,0.8,0.2,0.8,1.3,3.8
Brandon Ingram,SF,26,NOP,10,10,34.4,9.6,19.6,.490,1.1,4.8,.229,8.5,14.8,.574,.518,3.1,4.1,.756,0.8,4.8,5.6,5.2,0.7,0.2,3.1,1.7,23.4
Kyrie Irving,SG,31,DAL,10,10,32.9,9.0,19.0,.474,2.8,7.2,.389,6.2,11.8,.525,.547,3.2,3.7,.865,0.8,3.3,4.1,6.6,1.2,0.4,1.7,2.0,24.0
Jonathan Isaac,PF,26,ORL,10,0,13.8,2.0,5.2,.385,0.8,2.9,.276,1.2,2.3,.522,.462,1.6,1.9,.842,1.0,3.3,4.3,0.4,1.0,1.4,0.7,1.5,6.4
Jaden Ivey,SG,21,DET,9,0,20.7,4.0,7.8,.514,1.2,3.1,.393,2.8,4.7,.595,.593,1.8,2.2,.800,0.9,1.6,2.4,2.8,0.8,0.3,2.2,2.7,11.0
Andre Jackson Jr.,SG,22,MIL,9,2,9.4,0.8,1.4,.538,0.3,0.8,.429,0.4,0.7,.667,.654,0.0,0.0,,0.7,0.9,1.6,1.0,0.3,0.0,0.7,1.8,1.9
Gregory Jackson II,PF,19,MEM,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Jackson,C,22,IND,5,0,14.6,2.0,3.6,.556,0.0,0.0,,2.0,3.6,.556,.556,1.6,2.6,.615,1.8,2.6,4.4,0.8,0.2,1.8,0.4,3.0,5.6
Jaren Jackson Jr.,C,24,MEM,12,12,30.4,6.8,15.7,.431,1.7,5.3,.313,5.1,10.3,.492,.484,4.8,5.8,.841,1.8,4.2,6.0,2.1,0.4,1.7,1.8,3.2,20.0
Reggie Jackson,PG,33,DEN,12,5,24.8,4.4,9.5,.465,1.4,4.1,.347,3.0,5.4,.554,.539,0.8,1.3,.600,0.2,1.8,1.9,3.6,0.8,0.3,1.4,1.7,11.0
Trayce Jackson-Davis,PF,23,GSW,10,0,7.8,1.0,1.8,.556,0.0,0.0,,1.0,1.8,.556,.556,1.1,1.8,.611,0.9,1.0,1.9,0.6,0.1,0.6,0.4,1.4,3.1
LeBron James,PF,39,LAL,12,12,33.9,9.6,16.8,.572,2.3,5.7,.397,7.3,11.1,.662,.639,4.1,6.0,.681,0.6,7.8,8.3,6.3,1.6,0.8,4.2,1.6,25.5
Jaime Jaquez Jr.,SF,22,MIA,13,3,24.1,3.7,7.5,.495,0.9,2.9,.316,2.8,4.5,.610,.557,0.6,0.8,.800,1.1,2.3,3.4,2.2,1.0,0.2,1.3,2.4,8.9
DaQuan Jeffries,SG,26,NYK,5,0,3.0,0.6,1.0,.600,0.2,0.6,.333,0.4,0.4,1.000,.700,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.2,0.2,1.4
Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
Isaiah Joe,SG,24,OKC,13,0,20.1,3.2,7.1,.446,2.6,5.5,.472,0.5,1.5,.350,.630,1.0,1.3,.765,0.1,2.2,2.3,1.2,0.8,0.2,0.6,1.3,9.9
Cameron Johnson,PF,27,BRK,5,5,28.6,5.2,12.0,.433,2.4,6.8,.353,2.8,5.2,.538,.533,1.8,2.2,.818,1.2,3.8,5.0,1.8,1.2,0.0,1.6,2.0,14.6
Jalen Johnson,SF,22,ATL,12,9,30.6,6.1,10.0,.608,1.3,2.8,.441,4.8,7.2,.674,.671,1.6,2.2,.731,1.5,6.4,7.9,2.2,0.9,1.0,2.0,2.3,15.0
Keldon Johnson,SF,24,SAS,12,12,32.7,6.3,13.8,.452,2.1,5.6,.373,4.2,8.3,.505,.527,1.8,2.5,.700,0.7,5.4,6.1,4.3,0.8,0.3,1.3,2.6,16.3
Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Jokić,C,28,DEN,12,12,34.8,11.5,20.1,.573,1.5,5.0,.300,10.0,15.1,.663,.610,5.2,6.3,.816,3.3,10.8,14.1,9.2,1.0,0.8,3.5,2.2,29.7
Colby Jones,SG,21,SAC,6,0,8.5,1.3,2.8,.471,0.2,0.7,.250,1.2,2.2,.538,.500,0.3,0.3,1.000,0.8,1.2,2.0,0.3,0.2,0.2,0.5,0.8,3.2
Damian Jones,C,28,CLE,8,0,4.5,0.4,0.4,1.000,0.0,0.0,,0.4,0.4,1.000,1.000,0.1,0.3,.500,0.3,0.6,0.9,0.3,0.0,0.1,0.3,0.4,0.9
Derrick Jones Jr.,SF,26,DAL,13,13,22.2,3.3,6.8,.483,1.4,3.9,.353,1.9,2.9,.658,.584,0.9,1.3,.706,1.0,2.8,3.8,1.2,0.5,0.7,1.1,1.3,8.9
Herbert Jones,SF,25,NOP,10,10,31.3,3.6,7.4,.486,1.1,3.2,.344,2.5,4.2,.595,.561,2.7,3.0,.900,0.6,3.4,4.0,2.8,2.1,1.6,1.2,3.7,11.0
Tre Jones,PG,24,SAS,10,0,25.3,3.0,6.9,.435,0.5,2.1,.238,2.5,4.8,.521,.471,1.6,1.8,.889,0.7,2.2,2.9,5.7,0.7,0.4,1.4,1.3,8.1
Tyus Jones,PG,27,WAS,12,12,26.7,4.1,8.8,.467,1.3,3.3,.375,2.8,5.4,.523,.538,0.3,0.5,.667,0.3,2.3,2.7,4.8,0.9,0.2,0.8,1.1,9.8
DeAndre Jordan,C,35,DEN,1,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
Cory Joseph,PG,32,GSW,6,0,7.8,0.7,2.7,.250,0.7,2.0,.333,0.0,0.7,.000,.375,0.0,0.2,.000,0.3,0.3,0.7,1.5,0.2,0.2,0.7,0.7,2.0
Nikola Jović,PF,20,MIA,2,1,14.0,2.0,4.0,.500,1.5,2.5,.600,0.5,1.5,.333,.688,1.0,1.0,1.000,0.0,7.5,7.5,2.0,0.5,0.0,1.0,1.0,6.5
Luke Kennard,SG,27,MEM,8,0,21.5,2.6,7.3,.362,2.1,5.8,.370,0.5,1.5,.333,.509,0.9,0.9,1.000,0.4,2.5,2.9,2.0,0.6,0.1,0.6,0.5,8.3
Walker Kessler,C,22,UTA,8,8,24.0,3.5,6.4,.549,0.3,0.8,.333,3.3,5.6,.578,.569,1.0,1.6,.615,3.4,4.5,7.9,0.3,0.0,2.1,1.0,2.1,8.3
Braxton Key,SF,26,DEN,4,0,2.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,0.5
Corey Kispert,SF,24,WAS,11,0,22.7,3.4,7.4,.457,1.8,4.9,.370,1.5,2.5,.630,.580,1.6,2.0,.818,0.6,1.8,2.5,1.6,0.4,0.0,1.1,1.6,10.2
Maxi Kleber,C,32,DAL,5,1,18.0,0.8,3.2,.250,0.6,1.8,.333,0.2,1.4,.143,.344,1.2,2.0,.600,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4
Kevin Knox,SF,24,DET,3,1,27.7,5.7,8.7,.654,2.3,4.3,.538,3.3,4.3,.769,.788,0.0,0.0,,1.3,4.3,5.7,1.0,1.0,0.3,0.7,2.7,13.7
John Konchar,SF,27,MEM,9,1,18.6,1.6,3.6,.438,0.9,2.2,.400,0.7,1.3,.500,.563,0.0,0.0,,0.9,3.1,4.0,1.8,0.8,0.7,0.3,1.0,4.0
Furkan Korkmaz,SG,26,PHI,9,0,7.9,0.8,1.9,.412,0.3,0.8,.429,0.4,1.1,.400,.500,0.3,0.6,.600,0.1,0.6,0.7,0.3,0.6,0.0,0.7,0.3,2.2
Luke Kornet,C,28,BOS,9,0,11.6,1.7,2.1,.789,0.0,0.0,,1.7,2.1,.789,.789,0.7,0.9,.750,1.3,2.2,3.6,0.7,0.4,0.2,0.3,1.1,4.0
Jonathan Kuminga,PF,21,GSW,13,1,20.6,4.3,9.9,.434,0.4,2.2,.172,3.9,7.7,.510,.453,3.3,4.5,.741,1.0,2.3,3.3,0.8,0.6,0.5,1.5,2.5,12.3
Kyle Kuzma,PF,28,WAS,12,12,30.4,9.2,19.8,.464,2.4,6.8,.354,6.8,12.9,.523,.525,2.8,3.5,.786,1.2,4.8,5.9,3.2,0.2,0.4,2.2,1.8,23.5
Jock Landale,C,28,HOU,8,0,10.5,0.8,2.5,.300,0.3,1.1,.222,0.5,1.4,.364,.350,0.3,0.3,1.000,1.0,1.4,2.4,0.9,0.4,0.3,0.8,0.8,2.0
Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4.0,.350,0.4,2.4,.167,1.0,1.6,.625,.400,0.2,0.4,.500,0.6,1.0,1.6,0.4,0.2,0.0,0.4,1.6,3.4
Zach LaVine,SG,28,CHI,14,14,35.6,7.3,17.1,.427,2.6,7.6,.340,4.7,9.5,.496,.502,4.8,5.5,.870,0.4,4.9,5.2,3.2,1.0,0.3,2.1,2.1,21.9
Saben Lee,PG,24,PHO,3,0,3.3,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,0.0,0.0,,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,2.0
Alex Len,C,30,SAC,6,0,6.8,1.0,1.3,.750,0.0,0.2,.000,1.0,1.2,.857,.750,0.5,1.2,.429,1.2,1.5,2.7,0.8,0.2,0.8,0.3,0.3,2.5
Kawhi Leonard,SF,32,LAC,11,11,34.2,7.7,16.7,.462,2.5,5.9,.431,5.2,10.8,.479,.538,3.0,3.8,.786,1.1,4.4,5.5,3.5,2.0,0.5,1.8,1.8,21.0
Caris LeVert,SG,29,CLE,11,1,33.1,6.5,15.4,.420,1.9,6.1,.313,4.5,9.3,.490,.482,3.2,4.4,.729,0.5,3.8,4.4,3.8,1.3,0.5,1.3,1.8,18.0
Kira Lewis Jr.,PG,22,NOP,10,0,11.5,1.3,4.0,.325,0.1,1.3,.077,1.2,2.7,.444,.338,0.8,0.9,.889,0.3,0.7,1.0,1.6,0.4,0.1,0.5,0.7,3.5
Maxwell Lewis,SF,21,LAL,6,0,3.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0
E.J. Liddell,PF,23,NOP,3,0,3.0,0.3,1.3,.250,0.0,1.0,.000,0.3,0.3,1.000,.250,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,1.3
Damian Lillard,PG,33,MIL,11,11,33.4,6.5,16.5,.398,2.8,8.9,.316,3.7,7.5,.494,.483,8.9,9.5,.933,0.5,3.6,4.2,6.2,1.1,0.1,2.7,1.3,24.8
Nassir Little,PF,23,PHO,7,0,10.4,1.3,2.6,.500,0.6,1.7,.333,0.7,0.9,.833,.611,0.6,0.6,1.000,0.1,1.0,1.1,0.3,0.7,0.1,0.3,1.3,3.7
Dereck Lively II,C,19,DAL,12,11,24.1,3.8,5.3,.730,0.0,0.2,.000,3.8,5.1,.754,.730,1.2,1.8,.636,2.8,4.6,7.3,1.3,0.6,1.1,1.1,3.6,8.8
Chris Livingston,SF,20,MIL,2,0,4.5,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
Kenneth Lofton Jr.,PF,21,MEM,8,0,8.9,1.0,2.6,.381,0.3,0.8,.333,0.8,1.9,.400,.429,0.4,1.3,.300,0.3,1.0,1.3,1.1,0.3,0.3,0.5,1.8,2.6
Kevon Looney,C,27,GSW,14,12,24.4,2.7,4.4,.613,0.0,0.0,,2.7,4.4,.613,.613,0.6,0.9,.750,3.7,6.0,9.7,2.9,0.8,0.4,1.0,2.7,6.1
Brook Lopez,C,35,MIL,13,13,27.9,3.8,8.6,.438,1.6,4.8,.339,2.2,3.8,.560,.531,1.1,1.4,.778,1.2,3.5,4.6,1.0,0.8,2.8,0.9,2.2,10.2
Robin Lopez,C,35,MIL,2,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0
